Régions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Auvergne-Rhône-Alpes;1 960 183;1 916 140;2 092 415;1 318 770;755 428;8 042 936;1 004 671;952 699;1 037 334;622 927;295 005;3 912 636;955 512;963 441;1 055 081;695 843;460 423;4 130 300
Bourgogne-Franche-Comté;641 576;603 940;725 705;529 652;304 707;2 805 580;329 843;304 770;359 003;253 503;118 820;1 365 939;311 733;299 170;366 702;276 149;185 887;1 439 641
Bretagne;785 120;725 596;874 553;618 090;351 495;3 354 854;402 780;367 234;435 639;292 308;132 477;1 630 438;382 340;358 362;438 914;325 782;219 018;1 724 416
Centre-Val-de-Loire;608 584;550 353;668 241;472 030;273 972;2 573 180;311 414;273 647;330 397;224 635;108 041;1 248 134;297 170;276 706;337 844;247 395;165 931;1 325 046
Corse;69 336;76 541;92 626;63 147;38 790;340 440;36 127;37 279;45 498;30 469;16 272;165 645;33 209;39 262;47 128;32 678;22 518;174 795
Grand Est;1 282 605;1 314 726;1 471 355;966 859;520 674;5 556 219;658 576;660 493;729 019;461 240;200 283;2 709 611;624 029;654 233;742 336;505 619;320 391;2 846 608
Hauts-de-France;1 549 446;1 462 586;1 538 083;978 239;476 593;6 004 947;792 768;729 059;760 203;456 158;172 687;2 910 875;756 678;733 527;777 880;522 081;303 906;3 094 072
Île-de-France;3 164 236;3 401 028;3 217 757;1 643 374;836 149;12 262 544;1 614 081;1 643 823;1 575 787;764 458;322 718;5 920 867;1 550 155;1 757 205;1 641 970;878 916;513 431;6 341 677
Normandie;795 296;742 804;853 371;604 363;329 198;3 325 032;408 379;370 260;420 318;285 356;124 021;1 608 334;386 917;372 544;433 053;319 007;205 177;1 716 698
Nouvelle-Aquitaine;1 305 942;1 285 600;1 576 396;1 157 204;685 147;6 010 289;669 407;637 507;771 460;545 558;268 459;2 892 391;636 535;648 093;804 936;611 646;416 688;3 117 898
Occitanie;1 333 065;1 340 343;1 538 611;1 083 104;638 062;5 933 185;683 616;665 425;752 395;511 490;255 023;2 867 949;649 449;674 918;786 216;571 614;383 039;3 065 236
Pays de la Loire;944 837;862 326;977 955;651 565;369 778;3 806 461;484 443;432 196;485 847;308 347;143 434;1 854 267;460 394;430 130;492 108;343 218;226 344;1 952 194
Provence-Alpes-Côte d'Azur;1 144 690;1 125 364;1 322 487;917 810;570 750;5 081 101;587 351;552 799;637 219;425 489;226 163;2 429 021;557 339;572 565;685 268;492 321;344 587;2 652 080
France métropolitaine;15 584 916;15 407 347;16 949 555;11 004 207;6 150 743;65 096 768;7 983 456;7 627 191;8 340 119;5 181 938;2 383 403;31 516 107;7 601 460;7 780 156;8 609 436;5 822 269;3 767 340;33 580 661
Guadeloupe ;95 719;74 175;112 954;68 569;32 822;384 239;48 288;33 304;49 589;31 605;12 940;175 726;47 431;40 871;63 365;36 964;19 882;208 513
Martinique ;82 145;69 074;108 914;68 640;35 735;364 508;41 542;31 243;48 205;31 688;14 267;166 945;40 603;37 831;60 709;36 952;21 468;197 563
Guyane;118 168;77 788;59 911;20 301;5 510;281 678;59 163;36 312;29 332;10 142;2 311;137 260;59 005;41 476;30 579;10 159;3 199;144 418
La Réunion;260 947;207 824;239 477;110 591;42 371;861 210;132 263;96 442;114 002;52 266;16 420;411 393;128 684;111 382;125 475;58 325;25 951;449 817
Mayotte;144 920;71 696;41 350;9 172;2 441;269 579;71 663;30 113;20 759;4 792;1 155;128 482;73 257;41 583;20 591;4 380;1 286;141 097
DOM;701 899;500 557;562 606;277 273;118 879;2 161 214;352 919;227 414;261 887;130 493;47 093;1 019 806;348 980;273 143;300 719;146 780;71 786;1 141 408
France métropolitaine et DOM;16 286 815;15 907 904;17 512 161;11 281 480;6 269 622;67 257 982;8 336 375;7 854 605;8 602 006;5 312 431;2 430 496;32 535 913;7 950 440;8 053 299;8 910 155;5 969 049;3 839 126;34 722 069
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
