Région;Hommes;Femmes
Auvergne-Rhône-Alpes;4 015 136;4 213 666
Bourgogne-Franche-Comté;1 367 045;1 430 115
Bretagne;1 685 082;1 773 506
Centre-Val-de-Loire;1 254 572;1 327 443
Grand Est;2 710 891;2 838 833
Hauts-de-France;2 903 183;3 079 355
Ile-de-France;6 020 867;6 409 484
Normandie;1 619 167;1 721 876
Nouvelle-Aquitaine;2 977 485;3 189 117
Occitanie;2 983 607;3 178 695
Pays de la Loire;1 916 283;2 001 973
Provence-Alpes-Côte d'Azur et Corse;2 672 488;2 903 090
Régions et Départements d'outre-mer;1 055 834;1 187 823
