,annee,mois,region,SIN_N/N-1
0,2020,1,Auvergne-Rhône-Alpes,-0.0369941908211302
1,2020,2,Auvergne-Rhône-Alpes,0.08478179426286747
2,2020,3,Auvergne-Rhône-Alpes,-0.38244124625733433
3,2020,4,Auvergne-Rhône-Alpes,-0.6969607666648152
4,2020,5,Auvergne-Rhône-Alpes,-0.29218047524801527
5,2020,6,Auvergne-Rhône-Alpes,0.1396551041735652
6,2020,7,Auvergne-Rhône-Alpes,0.07475308476628428
7,2020,8,Auvergne-Rhône-Alpes,0.09000082017862798
8,2020,9,Auvergne-Rhône-Alpes,0.10837378130871955
9,2020,10,Auvergne-Rhône-Alpes,0.019515568331590405
10,2020,11,Auvergne-Rhône-Alpes,-0.0008447461878409168
11,2020,12,Auvergne-Rhône-Alpes,0.034062203274493275
12,2020,1,Bourgogne-Franche-Comté,-0.037585093120549584
13,2020,2,Bourgogne-Franche-Comté,0.07702981873938786
14,2020,3,Bourgogne-Franche-Comté,-0.35411479756378894
15,2020,4,Bourgogne-Franche-Comté,-0.6735400322023162
16,2020,5,Bourgogne-Franche-Comté,-0.2982085653768868
17,2020,6,Bourgogne-Franche-Comté,0.11626004471296092
18,2020,7,Bourgogne-Franche-Comté,0.06530248190521504
19,2020,8,Bourgogne-Franche-Comté,0.07595537639172756
20,2020,9,Bourgogne-Franche-Comté,0.09612979771470642
21,2020,10,Bourgogne-Franche-Comté,0.019751194541825834
22,2020,11,Bourgogne-Franche-Comté,0.014022934971858358
23,2020,12,Bourgogne-Franche-Comté,0.02671884845282091
24,2020,1,Bretagne,-0.04394715878298261
25,2020,2,Bretagne,0.0596246501840656
26,2020,3,Bretagne,-0.31683039907835897
27,2020,4,Bretagne,-0.6645567452182497
28,2020,5,Bretagne,-0.28510661157233963
29,2020,6,Bretagne,0.13034286809616846
30,2020,7,Bretagne,0.07695353316062836
31,2020,8,Bretagne,0.09043675799827966
32,2020,9,Bretagne,0.10801833768632374
33,2020,10,Bretagne,0.035571365175336433
34,2020,11,Bretagne,0.07053631316906994
35,2020,12,Bretagne,0.06074164796159631
36,2020,1,Centre-Val-de-Loire,-0.054576930362359555
37,2020,2,Centre-Val-de-Loire,0.04564072626691473
38,2020,3,Centre-Val-de-Loire,-0.33056826380171733
39,2020,4,Centre-Val-de-Loire,-0.6785873994004648
40,2020,5,Centre-Val-de-Loire,-0.3067567855416543
41,2020,6,Centre-Val-de-Loire,0.10714757742313008
42,2020,7,Centre-Val-de-Loire,0.0504205525031407
43,2020,8,Centre-Val-de-Loire,0.0722752318897153
44,2020,9,Centre-Val-de-Loire,0.09733865961760291
45,2020,10,Centre-Val-de-Loire,0.03127221505903277
46,2020,11,Centre-Val-de-Loire,0.04358798849489198
47,2020,12,Centre-Val-de-Loire,0.065498133039811
48,2020,1,Grand Est,-0.043308451377736645
49,2020,2,Grand Est,0.032002039006965965
50,2020,3,Grand Est,-0.3613536431810903
51,2020,4,Grand Est,-0.6633110070273376
52,2020,5,Grand Est,-0.31291153023715157
53,2020,6,Grand Est,0.10395187735890943
54,2020,7,Grand Est,0.04704126027644295
55,2020,8,Grand Est,0.06505944166459598
56,2020,9,Grand Est,0.07542526819548234
57,2020,10,Grand Est,0.014336912490674925
58,2020,11,Grand Est,0.03611798266752464
59,2020,12,Grand Est,0.02848870331269615
60,2020,1,Hauts-de-France,-0.017926248659157595
61,2020,2,Hauts-de-France,0.05449045351407911
62,2020,3,Hauts-de-France,-0.3250811707685677
63,2020,4,Hauts-de-France,-0.6424229453853496
64,2020,5,Hauts-de-France,-0.2844719848898989
65,2020,6,Hauts-de-France,0.10508666538130806
66,2020,7,Hauts-de-France,0.05126824936044483
67,2020,8,Hauts-de-France,0.05503629207406724
68,2020,9,Hauts-de-France,0.07571681172814282
69,2020,10,Hauts-de-France,-0.0006182072955202011
70,2020,11,Hauts-de-France,0.016454397869864357
71,2020,12,Hauts-de-France,0.02659049398051727
72,2020,1,Ile-de-France,-0.03961072811900046
73,2020,2,Ile-de-France,0.006178795591161412
74,2020,3,Ile-de-France,-0.352845697287298
75,2020,4,Ile-de-France,-0.7083959945525953
76,2020,5,Ile-de-France,-0.29472837821034825
77,2020,6,Ile-de-France,0.11641346597843105
78,2020,7,Ile-de-France,0.054728703538881485
79,2020,8,Ile-de-France,0.0877284980710289
80,2020,9,Ile-de-France,0.08754392725465698
81,2020,10,Ile-de-France,0.02831038774772554
82,2020,11,Ile-de-France,0.04692311621411838
83,2020,12,Ile-de-France,0.059355938516166606
84,2020,1,Normandie,-0.0237243734467818
85,2020,2,Normandie,0.08345846198902507
86,2020,3,Normandie,-0.3226747372077893
87,2020,4,Normandie,-0.6574343202209414
88,2020,5,Normandie,-0.25622365104122957
89,2020,6,Normandie,0.1691150422430796
90,2020,7,Normandie,0.10229753586204615
91,2020,8,Normandie,0.08292878443340279
92,2020,9,Normandie,0.10722293856562692
93,2020,10,Normandie,0.024102494973871735
94,2020,11,Normandie,0.0340700986839364
95,2020,12,Normandie,0.04185383222144723
96,2020,1,Nouvelle-Aquitaine,-0.026603577779393817
97,2020,2,Nouvelle-Aquitaine,0.08795787592644566
98,2020,3,Nouvelle-Aquitaine,-0.3545728272361658
99,2020,4,Nouvelle-Aquitaine,-0.6770882702029938
