,age,sexe,population,annee,monthly_population,mois
0,0-19,1,8225000,2019,8633256.75,1
1,0-19,1,8225000,2019,8596142.5,2
2,0-19,1,8225000,2019,8559028.25,3
3,0-19,1,8225000,2019,8521914.0,4
4,0-19,1,8225000,2019,8484799.75,5
5,0-19,1,8225000,2019,8447685.5,6
6,0-19,1,8225000,2019,8410571.25,7
7,0-19,1,8225000,2019,8373457.0,8
8,0-19,1,8225000,2019,8336342.75,9
9,0-19,1,8225000,2019,8299228.5,10
10,0-19,1,8225000,2019,8262114.25,11
11,0-19,1,8225000,2019,8225000.0,12
12,20-29,1,3782000,2019,3753501.75,1
13,20-29,1,3782000,2019,3756092.5,2
14,20-29,1,3782000,2019,3758683.25,3
15,20-29,1,3782000,2019,3761274.0,4
16,20-29,1,3782000,2019,3763864.75,5
17,20-29,1,3782000,2019,3766455.5,6
18,20-29,1,3782000,2019,3769046.25,7
19,20-29,1,3782000,2019,3771637.0,8
20,20-29,1,3782000,2019,3774227.75,9
21,20-29,1,3782000,2019,3776818.5,10
22,20-29,1,3782000,2019,3779409.25,11
23,20-29,1,3782000,2019,3782000.0,12
24,30-39,1,3983000,2019,4038265.8333333335,1
25,30-39,1,3983000,2019,4033241.6666666665,2
26,30-39,1,3983000,2019,4028217.5,3
27,30-39,1,3983000,2019,4023193.3333333335,4
28,30-39,1,3983000,2019,4018169.1666666665,5
29,30-39,1,3983000,2019,4013145.0,6
30,30-39,1,3983000,2019,4008120.8333333335,7
31,30-39,1,3983000,2019,4003096.6666666665,8
32,30-39,1,3983000,2019,3998072.5,9
33,30-39,1,3983000,2019,3993048.3333333335,10
34,30-39,1,3983000,2019,3988024.1666666665,11
35,30-39,1,3983000,2019,3983000.0,12
36,40-49,1,4217000,2019,4305809.416666667,1
37,40-49,1,4217000,2019,4297735.833333333,2
38,40-49,1,4217000,2019,4289662.25,3
39,40-49,1,4217000,2019,4281588.666666667,4
40,40-49,1,4217000,2019,4273515.083333333,5
41,40-49,1,4217000,2019,4265441.5,6
42,40-49,1,4217000,2019,4257367.916666667,7
43,40-49,1,4217000,2019,4249294.333333333,8
44,40-49,1,4217000,2019,4241220.75,9
45,40-49,1,4217000,2019,4233147.166666667,10
46,40-49,1,4217000,2019,4225073.583333333,11
47,40-49,1,4217000,2019,4217000.0,12
48,50-59,1,4329000,2019,4261084.166666667,1
49,50-59,1,4329000,2019,4267258.333333333,2
50,50-59,1,4329000,2019,4273432.5,3
51,50-59,1,4329000,2019,4279606.666666667,4
52,50-59,1,4329000,2019,4285780.833333333,5
53,50-59,1,4329000,2019,4291955.0,6
54,50-59,1,4329000,2019,4298129.166666667,7
55,50-59,1,4329000,2019,4304303.333333333,8
56,50-59,1,4329000,2019,4310477.5,9
57,50-59,1,4329000,2019,4316651.666666667,10
58,50-59,1,4329000,2019,4322825.833333333,11
59,50-59,1,4329000,2019,4329000.0,12
60,60-69,1,3837000,2019,3760220.9166666665,1
61,60-69,1,3837000,2019,3767200.8333333335,2
62,60-69,1,3837000,2019,3774180.75,3
63,60-69,1,3837000,2019,3781160.6666666665,4
64,60-69,1,3837000,2019,3788140.5833333335,5
65,60-69,1,3837000,2019,3795120.5,6
66,60-69,1,3837000,2019,3802100.4166666665,7
67,60-69,1,3837000,2019,3809080.3333333335,8
68,60-69,1,3837000,2019,3816060.25,9
69,60-69,1,3837000,2019,3823040.1666666665,10
70,60-69,1,3837000,2019,3830020.0833333335,11
71,60-69,1,3837000,2019,3837000.0,12
72,70-79,1,2792000,2019,2332254.0833333335,1
73,70-79,1,2792000,2019,2374049.1666666665,2
74,70-79,1,2792000,2019,2415844.25,3
75,70-79,1,2792000,2019,2457639.3333333335,4
76,70-79,1,2792000,2019,2499434.4166666665,5
77,70-79,1,2792000,2019,2541229.5,6
78,70-79,1,2792000,2019,2583024.5833333335,7
79,70-79,1,2792000,2019,2624819.6666666665,8
80,70-79,1,2792000,2019,2666614.75,9
81,70-79,1,2792000,2019,2708409.8333333335,10
82,70-79,1,2792000,2019,2750204.9166666665,11
83,70-79,1,2792000,2019,2792000.0,12
84,80+,1,1664000,2019,1480311.9166666667,1
85,80+,1,1664000,2019,1497010.8333333333,2
86,80+,1,1664000,2019,1513709.75,3
87,80+,1,1664000,2019,1530408.6666666667,4
88,80+,1,1664000,2019,1547107.5833333333,5
89,80+,1,1664000,2019,1563806.5,6
90,80+,1,1664000,2019,1580505.4166666667,7
91,80+,1,1664000,2019,1597204.3333333333,8
92,80+,1,1664000,2019,1613903.25,9
93,80+,1,1664000,2019,1630602.1666666667,10
94,80+,1,1664000,2019,1647301.0833333333,11
95,80+,1,1664000,2019,1664000.0,12
96,0-19,2,7861000,2019,8248915.0,1
97,0-19,2,7861000,2019,8213650.0,2
98,0-19,2,7861000,2019,8178385.0,3
99,0-19,2,7861000,2019,8143120.0,4
100,0-19,2,7861000,2019,8107855.0,5
101,0-19,2,7861000,2019,8072590.0,6
102,0-19,2,7861000,2019,8037325.0,7
103,0-19,2,7861000,2019,8002060.0,8
104,0-19,2,7861000,2019,7966795.0,9
105,0-19,2,7861000,2019,7931530.0,10
106,0-19,2,7861000,2019,7896265.0,11
107,0-19,2,7861000,2019,7861000.0,12
108,20-29,2,3738000,2019,3789415.8333333335,1
109,20-29,2,3738000,2019,3784741.6666666665,2
110,20-29,2,3738000,2019,3780067.5,3
111,20-29,2,3738000,2019,3775393.3333333335,4
112,20-29,2,3738000,2019,3770719.1666666665,5
113,20-29,2,3738000,2019,3766045.0,6
114,20-29,2,3738000,2019,3761370.8333333335,7
115,20-29,2,3738000,2019,3756696.6666666665,8
116,20-29,2,3738000,2019,3752022.5,9
117,20-29,2,3738000,2019,3747348.3333333335,10
118,20-29,2,3738000,2019,3742674.1666666665,11
119,20-29,2,3738000,2019,3738000.0,12
120,30-39,2,4213000,2019,4257327.25,1
121,30-39,2,4213000,2019,4253297.5,2
122,30-39,2,4213000,2019,4249267.75,3
123,30-39,2,4213000,2019,4245238.0,4
124,30-39,2,4213000,2019,4241208.25,5
125,30-39,2,4213000,2019,4237178.5,6
126,30-39,2,4213000,2019,4233148.75,7
