Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2019,1,0,0,24.689999999999984,2100.38
2019,1,0,1,215508496.51,610376636.18
2019,1,0,2,227905497.83,565938981.07
2019,1,20,1,78109351.02,244260462.88
2019,1,20,2,128072849.81,390239321.48
2019,1,30,1,110831085.39,348727988.35
2019,1,30,2,179495915.05,574408496.07
2019,1,40,1,164760361.99,516086072.8
2019,1,40,2,222688418.02,649032021.04
2019,1,50,1,221171526.12,793158585.55
2019,1,50,2,270115842.35,864819908.16
2019,1,60,1,226604811.85,1132644540.42
2019,1,60,2,266708015.14,984983099.0
2019,1,70,1,182320003.48,951658373.81
2019,1,70,2,226193726.51,943491775.92
2019,1,80,1,124995411.4,747058027.6
2019,1,80,2,232278431.19,1181533824.69
2019,1,99,0,30318.640000000003,867308.82
2019,1,99,1,315356.26,2356130.68
2019,1,99,2,334350.37,1866817.59
2019,2,0,0,157.47999999999996,928.62
2019,2,0,1,200687783.15,571215936.52
2019,2,0,2,210277802.27,531895017.14
2019,2,20,1,73200228.25,223576062.25
2019,2,20,2,121867505.69,361666018.8
2019,2,30,1,104573341.98,321342954.73
2019,2,30,2,172454825.67,537145300.06
2019,2,40,1,156693287.42,476751967.51
2019,2,40,2,218211992.28,618086628.21
2019,2,50,1,211332837.01,731073165.55
2019,2,50,2,267621884.32,823694859.46
2019,2,60,1,218164028.08,1028273889.73
2019,2,60,2,266589703.39,934641121.79
2019,2,70,1,176051313.34,873002473.05
2019,2,70,2,223286518.83,890739120.02
2019,2,80,0,183.48,478.37
2019,2,80,1,114540155.87,668574822.08
2019,2,80,2,211898477.23,1064378812.03
2019,2,99,0,19477.67,7972430.75
2019,2,99,1,309533.8,3035601.12
2019,2,99,2,339337.52,1995911.4
2019,3,0,0,67.39,7415.14
2019,3,0,1,213760732.18,586271262.84
2019,3,0,2,226916610.55,550835577.76
2019,3,20,1,76577736.82,233758264.68
2019,3,20,2,128002622.72,376700202.91
2019,3,30,1,111645291.75,339311906.56
2019,3,30,2,184303851.12,563844196.01
2019,3,40,1,168270290.75,501946051.36
2019,3,40,2,235519467.07,653244709.2
2019,3,50,1,225824583.19,768947119.31
2019,3,50,2,289762667.79,870219282.17
2019,3,60,1,232688249.63,1054126078.85
2019,3,60,2,284692020.55,981061653.92
2019,3,70,0,0.0,66.76
2019,3,70,1,186864615.98,916391815.7
2019,3,70,2,239095505.32,932948496.03
2019,3,80,0,575.1400000000001,1913.48
2019,3,80,1,123637653.88,699262380.86
2019,3,80,2,230194754.65,1116613823.82
2019,3,99,0,9792.45,74995818.52
2019,3,99,1,470663.19,3868036.95
2019,3,99,2,326662.7,2926632.68
2019,4,0,0,4548.5700000000015,22581.53
2019,4,0,1,218712331.63,609710215.15
2019,4,0,2,230480997.81,568865908.75
2019,4,0,9,1012.37,7229.27
2019,4,20,1,80380989.51,246789218.72
2019,4,20,2,132971530.88,396857185.22
2019,4,20,9,490.26,13923.11
2019,4,30,1,113026637.24,352706922.16
2019,4,30,2,189528414.14,593513384.17
2019,4,30,9,864.5999999999999,4232.12
2019,4,40,1,167641790.13,516170693.73
2019,4,40,2,237172681.13,679666679.76
2019,4,40,9,0.0,219.22000000000003
2019,4,50,1,226482601.3,801493048.64
2019,4,50,2,292073186.12,907246369.32
2019,4,50,9,209.76,882.97
2019,4,60,1,235307500.03,1138858696.81
2019,4,60,2,292377358.2,1039644115.03
2019,4,60,9,582.07,2685.53
2019,4,70,1,195572497.72,989267483.59
2019,4,70,2,254121799.08,1011777123.23
2019,4,70,9,283.39,1256.99
2019,4,80,0,924.2,2398.65
2019,4,80,1,128845815.62,751141782.52
2019,4,80,2,240390310.3,1190317249.42
2019,4,80,9,200.24,925.23
2019,4,99,0,3782.0,697376823.27
2019,4,99,1,303633.88,30379809.51
2019,4,99,2,335544.21,13151866.57
2019,5,0,0,301.29,941.09
2019,5,0,1,206976713.94,571154875.83
2019,5,0,2,220578856.54,536315094.52
2019,5,20,1,77117163.55,236287606.11
2019,5,20,2,128168547.3,383584163.07
2019,5,30,0,51.74000000000004,912.69
2019,5,30,1,110591998.0,339749937.01
2019,5,30,2,184015974.05,576417849.45
2019,5,40,1,163261454.62,501587257.14
2019,5,40,2,229054789.35,656604374.21
2019,5,50,1,219157476.72,770740253.44
2019,5,50,2,279818046.48,870013042.44
2019,5,60,1,227643832.92,1170154305.63
2019,5,60,2,281328139.13,1002103141.02
2019,5,70,1,188401813.41,949378699.37
2019,5,70,2,243790772.73,971677400.04
2019,5,80,0,10253.3,37228.58
2019,5,80,1,128581504.32,729922452.19
2019,5,80,2,240692043.88,1160735081.86
2019,5,99,0,6239.32,146455460.7
2019,5,99,1,307074.42,12770235.32
2019,5,99,2,318717.07,11383247.65
2019,6,0,0,0.0,6072.67
2019,6,0,1,202240207.12,566255076.97
2019,6,0,2,210563893.04,518616033.48
2019,6,20,1,73537355.49,227591327.99
2019,6,20,2,120171921.86,362870668.82
2019,6,30,1,104423709.26,324134372.5
2019,6,30,2,172886851.71,542648329.26
2019,6,40,1,154360989.62,478310349.2
2019,6,40,2,216078403.7,620944870.65
2019,6,50,1,208394829.49,734601923.61
2019,6,50,2,266511053.53,828231477.99
2019,6,60,0,288.09000000000003,823.14
2019,6,60,1,218321293.79,1087474835.18
2019,6,60,2,270180589.31,956394911.51
