Région;Hommes;Femmes
Auvergne-Rhône-Alpes;3 912 636;4 130 300
Bourgogne-Franche-Comté;1 365 939;1 439 641
Bretagne;1 630 438;1 724 416
Centre-Val-de-Loire;1 248 134;1 325 046
Grand Est;2 709 611;2 846 608
Hauts-de-France;2 910 875;3 094 072
Ile-de-France;5 920 867;6 341 677
Normandie;1 608 334;1 716 698
Nouvelle-Aquitaine;2 892 391;3 117 898
Occitanie;2 867 949;3 065 236
Pays de la Loire;1 854 267;1 952 194
Provence-Alpes-Côte d'Azur et Corse;2 594 666;2 826 875
Régions et Départements d'outre-mer;1 019 806;1 141 408
