FLX_ANN_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
201901.0,2.0,70.0,5.0,4175537.6899999776,25382706.219999317,21207168.5299998
201901.0,2.0,80.0,24.0,7357488.439999873,34800937.289998114,27443448.849998225
201901.0,1.0,0.0,52.0,9717960.11999982,24456390.22999889,14738430.109999953
201901.0,2.0,60.0,5.0,5179146.179999981,25483823.179999426,20304677.000000093
201901.0,1.0,40.0,52.0,6926479.089999948,21275330.58999918,14348851.499999773
201901.0,1.0,80.0,44.0,11498474.339999903,53610802.850000605,42112328.509999245
201901.0,1.0,0.0,93.0,13479933.92000015,38082534.11999855,24602600.199999504
201901.0,1.0,30.0,76.0,6991548.849999804,24016920.929999057,17025372.079999823
201901.0,1.0,20.0,5.0,944786.7300000044,4025632.5800000257,3080845.8499999894
201901.0,1.0,80.0,11.0,17106175.2599999,90351001.2100027,73244825.94999896
201901.0,2.0,40.0,5.0,4377308.439999969,15960491.6499996,11583183.209999952
201901.0,1.0,80.0,32.0,8151545.179999869,49431219.63000019,41279674.44999878
201901.0,1.0,30.0,44.0,8225506.599999835,24661283.82999903,16435777.229999723
201901.0,2.0,70.0,44.0,19402940.23000004,70689436.47000337,51286496.239997655
201901.0,1.0,50.0,53.0,8007258.529999839,29423861.26999883,21416602.739999298
201901.0,1.0,50.0,11.0,37675466.869999535,117814478.09000556,80139011.2199996
201901.0,2.0,30.0,24.0,4220195.710000038,14432765.889999455,10212570.180000009
201901.0,2.0,20.0,11.0,25126838.22999976,64769861.11000185,39643022.879998125
201901.0,1.0,20.0,84.0,8442822.399999727,24974493.819998465,16531671.419999784
201901.0,2.0,20.0,24.0,3038537.850000029,9714855.649999669,6676317.800000102
201901.0,1.0,70.0,52.0,8718836.029999863,41097807.799999356,32378971.76999885
201901.0,1.0,50.0,44.0,19181728.529999852,62866974.570001006,43685246.03999853
201901.0,2.0,50.0,11.0,50344022.409998484,137000911.28000593,86656888.86999817
201901.0,1.0,40.0,93.0,11459524.259999929,38180706.70999917,26721182.449999213
201901.0,1.0,40.0,27.0,5009149.250000014,15161029.379999418,10151880.129999992
201901.0,1.0,50.0,76.0,16287108.119999994,62706374.610001,46419266.48999843
201901.0,1.0,40.0,75.0,11020649.399999889,35250652.329998255,24230002.929999262
201901.0,1.0,20.0,52.0,2894376.2500000275,9170235.319999797,6275859.070000099
201901.0,2.0,50.0,52.0,11292761.019999932,34805399.569998294,23512638.549998984
201901.0,2.0,0.0,11.0,40480223.81999928,91173586.4300044,50693362.60999834
201901.0,2.0,50.0,84.0,28655235.419999786,82899260.35000236,54244024.92999777
201901.0,1.0,40.0,32.0,11883237.169999944,39503468.229999214,27620231.05999864
201901.0,2.0,80.0,52.0,10514894.949999949,45795121.650000095,35280226.6999984
